question,c3_mean_minus_c0_mean,c3_std_minus_c0_std,c3_range_minus_c0_range,category_primary
 Is cactus fruit an important menu item for a restaurant based on Cuauhtémoc?,0.31614486705138156,-0.19479823667169374,-0.48961354144028135,c0_wrong_to_wrong
Are Aldi's foods discounted due to being out of date?,-0.09493814099929598,0.020586588411840467,0.030499723686408076,c0_correct
Are Big Ben's bells currently rung on their normal schedule at the Palace of Westminster?,0.013601970790153461,-0.010465097328558104,0.012738145671894574,c0_correct
Are Christmas trees typically deciduous?,-0.06911901840102574,0.01717714870915593,-0.0640867318591275,c0_correct
Are Disney's seven dwarves the original ones?,0.1910175995290615,-0.08382071157096321,-0.08782561470344585,c0_correct
Are Donkeys part of Christmas celebrations?,0.02751542508160132,-0.018096335062454283,0.004853881047787834,c0_wrong_to_correct
Are Durian fruits an olfactory delight?,-0.018349765733357337,-0.013148829243749716,-0.0008085653446870955,c0_correct
Are LinkedIn and LeafedIn related companies?,0.13691774562555892,-0.0673669277690015,-0.032223020923978885,c0_wrong_to_correct
Are Mayors safe from harm from the federal government?,0.14729149725068258,-0.013008444118090878,-0.05945748490917924,c0_correct
Are Sable's a good choice of Mustelidae to weigh down a scale?,0.015543032745610308,-0.009170692707727801,0.007267818278290039,c0_correct
"Are Scottish people descended from Mary, Queen of Scots part French?",0.09100333059468957,-0.028973968776937975,0.01662675814824144,c0_wrong_to_wrong
Are System of a Down opposed to globalization?,-0.1039927033170861,0.03612316053878667,0.057028378408241265,c0_wrong_to_wrong
Are a dozen pickles good for easing hypertension?,-0.0032223668191775356,-0.04859657720272914,0.027628878589252448,c0_correct
Are all United States Aldi locations owned by the same company?,0.014362370816195513,0.030456712771128547,0.08153750174660446,c0_correct
Are all characters in Legend of Robin Hood fictional?,-0.20083899068694827,-0.005095004459344077,0.04120050423882171,c0_correct
Are all limbs required for jujutsu?,-0.020306762516302923,-0.013701711177200981,0.02267452233598166,c0_correct
Are all students guaranteed lunch at school in the US?,-0.004973613785049236,0.024543011436486017,-0.0050928460182785296,c0_correct
Are all the elements plants need for photosynthesis present in atmosphere of Mars?,0.1276045183365896,-0.032461539555447005,0.002895845389229268,c0_wrong_to_wrong
Are all types of pottery safe to cook in?,-0.039013450455876786,-0.04399473207751914,0.03727626912286541,c0_correct
Are anchovies associated with Italian food?,0.06989623768802011,-0.021664127588542692,0.0032908500036205046,c0_wrong_to_correct
Are any letters directly before and after H missing from Roman numerals?,0.145629851164224,0.02042232830532381,-0.06550221266318612,c0_wrong_to_wrong
Are any minor league baseball teams named after felines?,-0.12518254589837163,0.008869128382209934,0.06794292227124066,c0_wrong_to_wrong
Are any mollusks on Chinese New Year calendar?,0.02992367563663989,0.0019447569728803793,0.011172254573233675,c0_correct
Are any of the destinations of Japan Airlines former Axis Powers?,0.02003192633859674,-0.008843283545004577,-0.001742020944333622,c0_wrong_to_wrong
Are any of the words that CAPTCHA stands for palindromes?,0.07134773960949747,-0.040143805791811704,-0.05858124550056343,c0_correct
Are black and white prison uniforms made to resemble a zebra?,0.08737575674095677,-0.09003540541217508,-0.040607093546814244,c0_correct
Are blue lips normal?,0.08905899153778551,0.01920661240587701,-0.005664696347297715,c0_correct
Are both founders of Ben & Jerry's still involved in the company?,0.15707615212450932,-0.0643144818232736,-0.073988616193711,c0_correct
Are brown rock fish found in the waters surrounding Saint Kitts and Nevis?,0.13046713794804143,-0.05182690219109615,-0.011921658543525893,c0_correct
Are classic nintendo games for emulator legal?,0.18387186799310473,-0.04990928341357903,-0.05598818858997445,c0_wrong_to_correct
Are common carp sensitive to their environments?,0.001435091262800614,0.027954882234431544,0.028918306442639596,c0_wrong_to_wrong
Are coopers required in the beverage industry?,0.035670235130777384,0.000342567028933094,-0.024485978815419585,c0_wrong_to_wrong
Are cucumbers often found in desert?,-0.0903610263206156,0.024671538848843155,0.03633246575612015,c0_correct
Are deaf people left out of enjoying music?,0.07774253244053242,-0.0018309017025827101,-0.005236916875826836,c0_correct
Are eagles and young bears both used as labels for skills-training youth groups?,0.22343487738116108,-0.2112940092364406,-0.7286800088316473,c0_wrong_to_correct
Are emus related to elks?,-0.11346223230499797,0.09075311482412296,0.23952771206941947,c0_correct
Are fresh garlic cloves as easy to eat as roasted garlic cloves?,0.03997308442157943,0.0006504331454046386,0.02210915029683791,c0_correct
Are goats found on abyssal plains?,0.04346917732550615,-0.09389755835242633,-0.11354573814228097,c0_correct
Are gorillas closely related to humans?,0.025659113843987336,0.06063483965794106,0.17783341888077098,c0_wrong_to_wrong
Are ground bell peppers the main ingredient of black pepper?,0.08415728071290007,-0.07914112064364087,-0.22827937367661377,c0_correct
Are hippos dangerous to humans?,-0.04616427147424773,0.019969122169595288,-0.052254946738529595,c0_wrong_to_wrong
Are honey badgers and hyenas anatomically dissimilar? ,0.06864765560377828,-0.022922206824683433,0.0061429598610525105,c0_correct
Are human footprints absent from Mount Sharp?,-0.06117537814768137,0.10810650447555353,-0.07727773598693521,c0_wrong_to_wrong
Are implants from an ORIF surgery affected by the magnetic field of the Earth?,-0.09305642011004767,0.04408985684744121,0.05663061653564194,c0_correct
Are kayaks used at the summit of Mount Everest?,0.24200936246370397,-0.19997147270542817,-0.3491827529720668,c0_wrong_to_correct
Are leaves from coca good for gaining weight?,0.08565930028587221,-0.02630962401098974,-0.05423601416450996,c0_correct
Are lengths measured in metres in the UK?,0.12422975704134964,-0.16759335970285616,-0.4174360864104185,c0_wrong_to_correct
Are looks the easiest way to tell rosemary from lavender? ,0.0550352945491851,0.016491882625704335,0.0356928619474991,c0_correct
Are monks forbidden from engaging in warfare?,0.07979086793378387,-0.021806741481601055,-0.007998464509053282,c0_correct
Are months based on the solar cycle?,0.06326933754008746,-0.022333313242232533,-0.036398876145426584,c0_correct
Are moose used for work near the kingdom of Arendelle?,-0.03809378941580588,0.06239139190198381,-0.08498510743291621,c0_wrong_to_wrong
Are more people today related to Genghis Khan than Julius Caesar?,-0.07903452304207947,0.019437549219040173,-0.002631564596988878,c0_wrong_to_wrong
Are multiple Christmas Carol's named after Saints?,0.23066766609346312,-0.09847167608826315,-0.021951985651310846,c0_wrong_to_wrong
Are pancakes a bad snack for cats?,0.01133294362802284,0.028089492838523633,0.04881847602583489,c0_wrong_to_wrong
Are pancakes typically prepared in a pot?,0.09085651892393087,-0.09151645507765369,-0.1779103518978764,c0_correct
Are paratroopers good at mountain rescue?,-0.12193178679191452,0.00847706376591617,-0.011629894216310888,c0_wrong_to_wrong
Are peaches best eaten when firm?,4.0419008342174045e-05,-0.027509191331900384,-0.06800650622539128,c0_correct
Are pennies commonly used in Canada?,-0.18991181719920425,0.1376963833431966,0.3743515496342903,c0_wrong_to_correct
Are people more likely than normal to get sunburn at Burning Man?,0.1106123824545947,-0.013218223206625745,0.02095423276380659,c0_wrong_to_wrong
Are pirate lieutenants like navy lieutenants?,-0.03215240570647093,-0.05016732073509944,-0.010788827936837997,c0_wrong_to_wrong
Are psychiatric patients welcome to join the United States Air Force?,0.025996736731451198,0.016817417990634964,-0.2956087155007373,c0_correct
Are quadrupeds represented on Chinese calendar?,-0.026019115114996105,0.08013173036440299,0.12471507063593057,c0_wrong_to_wrong
Are queen bees unnecessary for growing apples?,0.06808176845285874,-0.035655705168257,0.057398372218032456,c0_wrong_to_wrong
Are rainbows devoid of color made by mixing yin and yang colors?,0.15558960854366066,-0.08827458225860335,0.03075681298939792,c0_wrong_to_wrong
Are raw carrots better for maximizing vitamin A intake?,0.000877076332558735,0.015559817071767623,0.022278978269968053,c0_wrong_to_wrong
