question,c3_mean_minus_c0_mean,c3_std_minus_c0_std,c3_range_minus_c0_range,category_primary
 Is cactus fruit an important menu item for a restaurant based on Cuauhtémoc?,0.09095119197437074,-0.04024444263682539,-0.1518553853232586,c0_correct
Are Aldi's foods discounted due to being out of date?,0.09318013863086827,0.008262589504240386,0.0764403038035999,c0_correct
Are Big Ben's bells currently rung on their normal schedule at the Palace of Westminster?,-0.026718265435452082,-0.019355765837094308,-0.057673547397395164,c0_correct
Are Christmas trees typically deciduous?,-0.012809162400786667,0.02814566297317944,0.07241285257123387,c0_correct
Are Disney's seven dwarves the original ones?,0.033755571851702415,-0.016834103690094054,0.0006242027271706752,c0_wrong_to_correct
Are Donkeys part of Christmas celebrations?,-0.016894864111409724,0.007224944125644173,-0.04898169311826994,c0_correct
Are Durian fruits an olfactory delight?,0.020535572441630623,0.021692335637465976,0.02320799230062276,c0_wrong_to_correct
Are LinkedIn and LeafedIn related companies?,0.005421573105984567,-0.000683584627021061,0.009291380975774088,c0_correct
Are Mayors safe from harm from the federal government?,0.17611990895646856,-0.06818332185732956,-0.10271925007893667,c0_correct
Are Sable's a good choice of Mustelidae to weigh down a scale?,0.06613390267548958,-0.011973944020024302,-0.0229010525817408,c0_wrong_to_correct
"Are Scottish people descended from Mary, Queen of Scots part French?",-0.02608683446227522,0.0431831993237593,0.035896711052953445,c0_correct
Are System of a Down opposed to globalization?,0.09644440168310375,-0.015115521615136573,0.011462950029409225,c0_correct
Are a dozen pickles good for easing hypertension?,0.14761722843122294,-0.08777694561513388,-0.24392301814999873,c0_correct
Are all United States Aldi locations owned by the same company?,0.04912439507507671,-0.03323764008928404,-0.026821241911438753,c0_wrong_to_correct
Are all characters in Legend of Robin Hood fictional?,0.11234472107920845,-0.0262231181599131,0.10846165600575286,c0_wrong_to_correct
Are all limbs required for jujutsu?,0.042035732067351894,0.016546697588769255,0.11008446134462513,c0_correct
Are all students guaranteed lunch at school in the US?,-0.014936717587036519,0.01288019069754473,0.12159100318585525,c0_correct
Are all the elements plants need for photosynthesis present in atmosphere of Mars?,0.047860115208510634,-0.0011742074640238298,-0.05831149571029348,c0_wrong_to_correct
Are all types of pottery safe to cook in?,0.012172815511698798,-0.02586582726272299,0.005140509871658372,c0_correct
Are anchovies associated with Italian food?,-0.014344421815687958,0.005374607939692022,0.011436892892452089,c0_correct
Are any letters directly before and after H missing from Roman numerals?,0.1218989088365382,-0.10088873695230394,-0.19711738091933662,c0_correct
Are any minor league baseball teams named after felines?,0.3172651382872813,-0.1701510486044717,-0.332029356049544,c0_correct
Are any mollusks on Chinese New Year calendar?,0.1650429066658362,-0.034229489352885695,-0.003319979615993285,c0_wrong_to_correct
Are any of the destinations of Japan Airlines former Axis Powers?,0.11929941050429804,-0.09663285601935939,-0.3108748648158772,c0_correct
Are any of the words that CAPTCHA stands for palindromes?,0.013466669523906072,0.02232798546292536,0.08023942691743324,c0_wrong_to_correct
Are black and white prison uniforms made to resemble a zebra?,0.15924671146185554,-0.11587849988091778,-0.23322836655862123,c0_wrong_to_correct
Are blue lips normal?,0.05120307527232815,-0.03802573101711501,-0.021784061567883484,c0_correct
Are both founders of Ben & Jerry's still involved in the company?,-0.0007594738726424133,0.013892160662895975,0.08684598149861866,c0_correct
