question,c0_correct,c3_correct,c0_mean,c0_std,c0_range,c3_mean,c3_std,c3_range,category_primary
 Is cactus fruit an important menu item for a restaurant based on Cuauhtémoc?,True,True,0.7617313634430622,0.2556140694446641,0.7630340195906142,0.852682555417433,0.2153696268078387,0.6111786342673556,c0_correct
Are Aldi's foods discounted due to being out of date?,True,True,0.7278894358921301,0.2488210676294146,0.7386739039451342,0.8210695745229983,0.257083657133655,0.8151142077487341,c0_correct
Are Big Ben's bells currently rung on their normal schedule at the Palace of Westminster?,True,True,0.7788847138513668,0.25850539625598445,0.7200211117683958,0.7521664484159147,0.23914963041889015,0.6623475643710006,c0_correct
Are Christmas trees typically deciduous?,True,True,0.8025905943684919,0.2253434079607743,0.6552510127546467,0.7897814319677052,0.25348907093395373,0.7276638653258806,c0_correct
Are Disney's seven dwarves the original ones?,False,True,0.8320959242520752,0.23649646080666772,0.7001402918606504,0.8658514961037777,0.21966235711657367,0.7007644945878211,c0_wrong_to_correct
Are Donkeys part of Christmas celebrations?,True,True,0.6892639837050251,0.2823545191644344,0.8157510046447825,0.6723691195936153,0.28957946329007855,0.7667693115265125,c0_correct
Are Durian fruits an olfactory delight?,False,True,0.7591748903451007,0.22456789567757254,0.6976873959093517,0.7797104627867313,0.24626023131503852,0.7208953882099745,c0_wrong_to_correct
Are LinkedIn and LeafedIn related companies?,True,True,0.7532580836164454,0.28645254904378536,0.8478446905837365,0.75867965672243,0.2857689644167643,0.8571360715595105,c0_correct
Are Mayors safe from harm from the federal government?,True,True,0.6900822105626747,0.286140195597864,0.9009275057889834,0.8662021195191433,0.21795687374053446,0.7982082557100467,c0_correct
Are Sable's a good choice of Mustelidae to weigh down a scale?,False,True,0.7222256764551112,0.25923705935977553,0.8051370795603839,0.7883595791306007,0.24726311533975123,0.7822360269786431,c0_wrong_to_correct
"Are Scottish people descended from Mary, Queen of Scots part French?",True,True,0.8098086780089219,0.22453016489698352,0.7798886517057644,0.7837218435466466,0.2677133642207428,0.8157853627587178,c0_correct
Are System of a Down opposed to globalization?,True,True,0.6791464931657957,0.28399666407750923,0.8345010123835447,0.7755908948488994,0.26888114246237266,0.8459639624129539,c0_correct
Are a dozen pickles good for easing hypertension?,True,True,0.6959361846139972,0.2937565295700776,0.8066243053199385,0.8435534130452201,0.2059795839549437,0.5627012871699397,c0_correct
Are all United States Aldi locations owned by the same company?,False,True,0.7266279806969891,0.28824916009540325,0.8106079269710155,0.7757523757720658,0.2550115200061192,0.7837866850595767,c0_wrong_to_correct
Are all characters in Legend of Robin Hood fictional?,False,True,0.7365677987092885,0.2281148600472064,0.6780156139859724,0.8489125197884969,0.2018917418872933,0.7864772699917253,c0_wrong_to_correct
Are all limbs required for jujutsu?,True,True,0.7837223717861405,0.22050495866158834,0.6635378201150031,0.8257581038534924,0.2370516562503576,0.7736222814596282,c0_correct
Are all students guaranteed lunch at school in the US?,True,True,0.7718205243209557,0.2452447877361719,0.6981311105292072,0.7568838067339192,0.2581249784337166,0.8197221137150624,c0_correct
Are all the elements plants need for photosynthesis present in atmosphere of Mars?,False,True,0.7844147208020888,0.22942113782370505,0.6365069408235271,0.8322748360105995,0.22824693035968122,0.5781954451132336,c0_wrong_to_correct
Are all types of pottery safe to cook in?,True,True,0.790678312373651,0.24155224321617122,0.6873391905674603,0.8028511278853498,0.21568641595344823,0.6924797004391187,c0_correct
Are anchovies associated with Italian food?,True,True,0.8373874437320906,0.19992431753289663,0.590207913990589,0.8230430219164027,0.20529892547258866,0.6016448068830411,c0_correct
Are any letters directly before and after H missing from Roman numerals?,True,False,0.7359184605791753,0.3071010158878109,0.8809822601643341,0.8578173694157135,0.20621227893550698,0.6838648792449975,c0_correct
Are any minor league baseball teams named after felines?,True,True,0.6051115709968445,0.33531320837988476,0.900267054970198,0.9223767092841259,0.16516215977541307,0.568237698920654,c0_correct
Are any mollusks on Chinese New Year calendar?,False,True,0.6640679949116336,0.2598050648743716,0.7795783880398979,0.8291109015774698,0.2255755755214859,0.7762584084239046,c0_wrong_to_correct
Are any of the destinations of Japan Airlines former Axis Powers?,True,True,0.743213959558223,0.28681089129085763,0.8648925677257455,0.862513370062521,0.19017803527149824,0.5540177029098683,c0_correct
Are any of the words that CAPTCHA stands for palindromes?,False,True,0.8521196930882913,0.19987026085483345,0.6380304775797205,0.8655863626121973,0.2221982463177588,0.7182699044971538,c0_wrong_to_correct
Are black and white prison uniforms made to resemble a zebra?,False,True,0.6947532346721775,0.2945247845367679,0.7789131756665323,0.8539999461340331,0.1786462846558501,0.5456848091079111,c0_wrong_to_correct
Are blue lips normal?,True,True,0.7540175785593363,0.26785765416135865,0.7727915197253308,0.8052206538316644,0.22983192314424364,0.7510074581574473,c0_correct
Are both founders of Ben & Jerry's still involved in the company?,True,True,0.7893006367480403,0.24771256155053487,0.7111841100078273,0.7885411628753979,0.26160472221343084,0.798030091506446,c0_correct
Are brown rock fish found in the waters surrounding Saint Kitts and Nevis?,False,True,0.818466216207658,0.21411950431366214,0.5819710903788311,0.9052578204733452,0.15790452147320602,0.5225452615393507,c0_wrong_to_correct
Are classic nintendo games for emulator legal?,False,True,0.6873858939926333,0.2827917401034567,0.8296918904892983,0.8790700553181933,0.16141446174715593,0.5682070243615895,c0_wrong_to_correct
Are common carp sensitive to their environments?,False,True,0.7784993444232712,0.24232485253184705,0.719661463798231,0.772881831550144,0.23784272069650125,0.6973057574799384,c0_wrong_to_correct
