question,c0_correct,c3_correct,c0_mean,c0_std,c0_range,c3_mean,c3_std,c3_range,category_primary
 Is cactus fruit an important menu item for a restaurant based on Cuauhtémoc?,False,False,0.6025234221419262,0.32282923431613514,0.9420996443735858,0.9186682891933078,0.1280309976444414,0.4524861029333045,c0_wrong_to_wrong
Are Aldi's foods discounted due to being out of date?,True,False,0.6600031847102968,0.3232893135003838,0.8913746240156348,0.5650650437110009,0.3438759019122243,0.9218743477020429,c0_correct
Are Big Ben's bells currently rung on their normal schedule at the Palace of Westminster?,True,True,0.6021548093988878,0.3314026540031609,0.9235132171123717,0.6157567801890412,0.3209375566746028,0.9362513627842662,c0_correct
Are Christmas trees typically deciduous?,True,True,0.7357854950497572,0.3029282879929665,0.9230595582452684,0.6666664766487315,0.32010543670212244,0.8589728263861409,c0_correct
Are Disney's seven dwarves the original ones?,True,True,0.6506758135791832,0.32480313006026496,0.8476838556164943,0.8416934131082447,0.24098241848930174,0.7598582409130484,c0_correct
Are Donkeys part of Christmas celebrations?,False,True,0.6006488337420202,0.34498205920826164,0.9157008145393598,0.6281642588236215,0.32688572414580735,0.9205546955871476,c0_wrong_to_correct
Are Durian fruits an olfactory delight?,True,True,0.7014989882703478,0.29899758352459505,0.8636001939029704,0.6831492225369905,0.28584875428084533,0.8627916285582833,c0_correct
Are LinkedIn and LeafedIn related companies?,False,True,0.7078140333450655,0.33373222278020576,0.848951652685354,0.8447317789706245,0.26636529501120426,0.8167286317613751,c0_wrong_to_correct
Are Mayors safe from harm from the federal government?,True,True,0.4999475114553227,0.34527445439534366,0.9364619496538124,0.6472390087060053,0.3322660102772528,0.8770044647446331,c0_correct
Are Sable's a good choice of Mustelidae to weigh down a scale?,True,True,0.7405804841949752,0.28834922184713613,0.8404324209049087,0.7561235169405855,0.2791785291394083,0.8477002391831987,c0_correct
"Are Scottish people descended from Mary, Queen of Scots part French?",False,False,0.6710044867929446,0.30734265652476095,0.8887481166822899,0.7620078173876341,0.278368687747823,0.9053748748305314,c0_wrong_to_wrong
Are System of a Down opposed to globalization?,False,False,0.7111084114528367,0.3178073877465165,0.8793212796062776,0.6071157081357506,0.3539305482853032,0.9363496580145189,c0_wrong_to_wrong
Are a dozen pickles good for easing hypertension?,True,True,0.6625277445726129,0.3532490753120924,0.9086266275260051,0.6593053777534353,0.30465249810936323,0.9362555061152575,c0_correct
Are all United States Aldi locations owned by the same company?,True,True,0.699508308480996,0.29383971397688247,0.8216901231301871,0.7138706792971915,0.324296426748011,0.9032276248767915,c0_correct
Are all characters in Legend of Robin Hood fictional?,True,True,0.6964680633919361,0.29869218970574746,0.886646003489761,0.49562907270498785,0.2935971852464034,0.9278465077285827,c0_correct
Are all limbs required for jujutsu?,True,True,0.625543520286162,0.3465483886350854,0.928212387715355,0.6052367577698591,0.33284667745788443,0.9508869100513366,c0_correct
Are all students guaranteed lunch at school in the US?,True,True,0.6261041624777725,0.3045711733304327,0.9262011571021138,0.6211305486927232,0.3291141847669187,0.9211083110838353,c0_correct
Are all the elements plants need for photosynthesis present in atmosphere of Mars?,False,False,0.525767735329432,0.35389248821280667,0.9388635044153445,0.6533722536660216,0.32143094865735966,0.9417593498045738,c0_wrong_to_wrong
Are all types of pottery safe to cook in?,True,True,0.5537390609937881,0.3381220656060957,0.877224872789251,0.5147256105379113,0.29412733352857656,0.9145011419121164,c0_correct
Are anchovies associated with Italian food?,False,True,0.7282435641641899,0.3141328661694975,0.8661736434554531,0.79813980185221,0.2924687385809548,0.8694644934590736,c0_wrong_to_correct
Are any letters directly before and after H missing from Roman numerals?,False,False,0.6054089351528087,0.35631752623824386,0.9345785655222365,0.7510387863170327,0.3767398545435677,0.8690763528590504,c0_wrong_to_wrong
Are any minor league baseball teams named after felines?,False,False,0.7742048250753871,0.31844280624072036,0.8309201122316596,0.6490222791770155,0.3273119346229303,0.8988630345029003,c0_wrong_to_wrong
Are any mollusks on Chinese New Year calendar?,True,True,0.5679082061615119,0.337274100281692,0.9003744870923002,0.5978318817981518,0.3392188572545724,0.9115467416655338,c0_correct
Are any of the destinations of Japan Airlines former Axis Powers?,False,False,0.7737199596202957,0.2553645168914478,0.6660781339508711,0.7937518859588925,0.2465212333464432,0.6643361130065375,c0_wrong_to_wrong
Are any of the words that CAPTCHA stands for palindromes?,True,True,0.7056707752969129,0.35232616874008704,0.9360193120875521,0.7770185149064104,0.31218236294827534,0.8774380665869886,c0_correct
Are black and white prison uniforms made to resemble a zebra?,True,True,0.7089863049928957,0.3572994264584296,0.9145174758093995,0.7963620617338525,0.2672640210462545,0.8739103822625852,c0_correct
Are blue lips normal?,True,True,0.48054578780337287,0.3673818527857083,0.9360751523191959,0.5696047793411584,0.3865884651915853,0.9304104559718982,c0_correct
Are both founders of Ben & Jerry's still involved in the company?,True,True,0.6278229669155777,0.35558010168504894,0.9481044594229396,0.784899119040087,0.29126561986177535,0.8741158432292286,c0_correct
Are brown rock fish found in the waters surrounding Saint Kitts and Nevis?,True,True,0.6734542860078909,0.33127975485155875,0.867185709385826,0.8039214239559324,0.2794528526604626,0.8552640508423001,c0_correct
Are classic nintendo games for emulator legal?,False,True,0.6443086866173182,0.3102902625467223,0.8471087239988919,0.828180554610423,0.2603809791331433,0.7911205354089175,c0_wrong_to_correct
Are common carp sensitive to their environments?,False,False,0.6843566817807143,0.31842638699640957,0.8675768776412639,0.6857917730435149,0.3463812692308411,0.8964951840839035,c0_wrong_to_wrong
Are coopers required in the beverage industry?,False,False,0.6066622951018018,0.3393317717038852,0.9373170590998552,0.6423325302325792,0.33967433873281827,0.9128310802844356,c0_wrong_to_wrong
Are cucumbers often found in desert?,True,True,0.7622269808114996,0.3247006021612771,0.8844963592567779,0.671865954490884,0.34937214101012026,0.9208288250128981,c0_correct
Are deaf people left out of enjoying music?,True,True,0.597676010130291,0.3360927193504894,0.902919341027375,0.6754185425708235,0.3342618176479067,0.8976824241515482,c0_correct
Are eagles and young bears both used as labels for skills-training youth groups?,False,True,0.7410654940481258,0.24375808778427938,0.8007358702491907,0.9645003714292869,0.032464078547838775,0.07205586141754339,c0_wrong_to_correct
Are emus related to elks?,True,True,0.8217281521763791,0.21429424789136947,0.6877433176662943,0.7082659198713811,0.30504736271549243,0.9272710297357137,c0_correct
Are fresh garlic cloves as easy to eat as roasted garlic cloves?,True,True,0.6372135028187973,0.3349009506179275,0.9025607958308017,0.6771865872403767,0.33555138376333216,0.9246699461276396,c0_correct
Are goats found on abyssal plains?,True,True,0.6843370930121369,0.33970729276467354,0.901323306228773,0.727806270337643,0.2458097344122472,0.787777568086492,c0_correct
Are gorillas closely related to humans?,False,False,0.814108706790002,0.1982093305074972,0.601516213644931,0.8397678206339894,0.25884417016543826,0.779349632525702,c0_wrong_to_wrong
Are ground bell peppers the main ingredient of black pepper?,True,True,0.7837822413982748,0.2956669606248522,0.8874572150427635,0.8679395221111749,0.21652583998121133,0.6591778413661498,c0_correct
Are hippos dangerous to humans?,False,False,0.6693935303594138,0.3255362489283601,0.8815025285408973,0.6232292588851661,0.34550537109795537,0.8292475818023677,c0_wrong_to_wrong
Are honey badgers and hyenas anatomically dissimilar? ,True,True,0.6898751263913572,0.31972393184973646,0.9020005759203659,0.7585227819951355,0.29680172502505303,0.9081435357814184,c0_correct
Are human footprints absent from Mount Sharp?,False,False,0.796934731799515,0.25454948876488825,0.8169882253178486,0.7357593536518336,0.3626559932404418,0.7397104893309134,c0_wrong_to_wrong
Are implants from an ORIF surgery affected by the magnetic field of the Earth?,True,True,0.7278545559418129,0.31115837866133683,0.8518078303026072,0.6347981358317653,0.35524823550877804,0.9084384468382491,c0_correct
Are kayaks used at the summit of Mount Everest?,False,True,0.6426330617069985,0.3596717115737477,0.8879587480312388,0.8846424241707025,0.15970023886831955,0.538775995059172,c0_wrong_to_correct
Are leaves from coca good for gaining weight?,True,True,0.57383636126394,0.34393678907309017,0.9174223795584813,0.6594956615498122,0.3176271650621004,0.8631863653939713,c0_correct
Are lengths measured in metres in the UK?,False,True,0.7889889400287154,0.28347578337651524,0.6955383299674296,0.9132186970700651,0.11588242367365909,0.2781022435570111,c0_wrong_to_correct
Are looks the easiest way to tell rosemary from lavender? ,True,True,0.5515483041993214,0.3208856778235035,0.9079900601848615,0.6065835987485065,0.33737756044920786,0.9436829221323606,c0_correct
Are monks forbidden from engaging in warfare?,True,True,0.6270110114447988,0.3454492798679564,0.914102766560073,0.7068018793785826,0.32364253838635537,0.9061043020510198,c0_correct
Are months based on the solar cycle?,True,True,0.7578869439938118,0.30197314563303923,0.930074685855963,0.8211562815338993,0.2796398323908067,0.8936758097105364,c0_correct
Are moose used for work near the kingdom of Arendelle?,False,False,0.8647215018242019,0.18167364599565577,0.7739001783767542,0.826627712408396,0.2440650378976396,0.688915070943838,c0_wrong_to_wrong
Are more people today related to Genghis Khan than Julius Caesar?,False,False,0.6482122604130148,0.3268839830321013,0.9298229546238032,0.5691777373709354,0.3463215322511415,0.9271913900268143,c0_wrong_to_wrong
Are multiple Christmas Carol's named after Saints?,False,False,0.5889236128445644,0.34409283656974704,0.9053090952236862,0.8195912789380275,0.24562116048148389,0.8833571095723753,c0_wrong_to_wrong
Are pancakes a bad snack for cats?,False,False,0.6941179717587324,0.2921482848413503,0.8417181725270999,0.7054509153867552,0.32023777767987394,0.8905366485529348,c0_wrong_to_wrong
Are pancakes typically prepared in a pot?,True,True,0.6887385425043784,0.3349956805350257,0.8914359450526541,0.7795950614283093,0.24347922545737202,0.7135255931547777,c0_correct
Are paratroopers good at mountain rescue?,False,False,0.6935748474342021,0.35137182520577775,0.9310858040860429,0.5716430606422875,0.3598488889716939,0.919455909869732,c0_wrong_to_wrong
Are peaches best eaten when firm?,True,True,0.6878654809416392,0.3198568922199528,0.8932476615685561,0.6879058999499814,0.2923477008880524,0.8252411553431648,c0_correct
Are pennies commonly used in Canada?,False,True,0.9085318661339894,0.17631021279661044,0.5787041536309683,0.7186200489347851,0.314006596139807,0.9530557032652586,c0_wrong_to_correct
Are people more likely than normal to get sunburn at Burning Man?,False,False,0.5063563746583646,0.3612977261963139,0.9343677037465612,0.6169687571129593,0.34807950298968815,0.9553219365103678,c0_wrong_to_wrong
Are pirate lieutenants like navy lieutenants?,False,False,0.5501506910969571,0.3733001248991517,0.9123305091921348,0.5179982853904862,0.32313280416405227,0.9015416812552968,c0_wrong_to_wrong
Are psychiatric patients welcome to join the United States Air Force?,True,True,0.727901373303997,0.312232490148032,0.9393223665086631,0.7538981100354482,0.32904990813866697,0.6437136510079258,c0_correct
Are quadrupeds represented on Chinese calendar?,False,False,0.7908284288403155,0.2494184608291453,0.7547971770472419,0.7648093137253194,0.3295501911935483,0.8795122476831725,c0_wrong_to_wrong
Are queen bees unnecessary for growing apples?,False,False,0.7090453987391878,0.3161034089952198,0.9018427678427972,0.7771271671920466,0.2804477038269628,0.9592411400608296,c0_wrong_to_wrong
Are rainbows devoid of color made by mixing yin and yang colors?,False,False,0.681635078594347,0.34874615002505055,0.9133906357430438,0.8372246871380077,0.2604715677664472,0.9441474487324417,c0_wrong_to_wrong
