question,c3_mean_minus_c0_mean,c3_std_minus_c0_std,c3_range_minus_c0_range,category_primary
 Is cactus fruit an important menu item for a restaurant based on Cuauhtémoc?,0.10174834911177,-0.0122598285063997,0.10593656308778276,c0_wrong_to_correct
Are Aldi's foods discounted due to being out of date?,0.12677885689085178,-0.1774735901283141,-0.5592214878230102,c0_correct
Are Big Ben's bells currently rung on their normal schedule at the Palace of Westminster?,0.1314014517907336,-0.08771411989439049,-0.08098321670496311,c0_correct
Are Christmas trees typically deciduous?,0.0034806803666711517,-0.03921466233687512,-0.23865014998558842,c0_correct
Are Disney's seven dwarves the original ones?,0.15511257834817505,-0.05732666949541862,-0.03653150743115252,c0_correct
Are Donkeys part of Christmas celebrations?,0.0877428665538258,-0.12399545425753837,-0.26427923422704436,c0_correct
Are Durian fruits an olfactory delight?,-0.025260188347809076,0.004240373289207039,-0.03960832619178234,c0_correct
Are LinkedIn and LeafedIn related companies?,0.0030730442164305094,-0.014689417756336809,-0.0956225087841176,c0_correct
Are Mayors safe from harm from the federal government?,-0.08810298634569913,0.10857316086231167,0.2766182931711221,c0_correct
Are Sable's a good choice of Mustelidae to weigh down a scale?,0.03665435466688782,-0.038277822293247804,-0.08695665435304911,c0_correct
"Are Scottish people descended from Mary, Queen of Scots part French?",0.02046541948976377,-0.0503415878265467,-0.19666727696916886,c0_correct
Are System of a Down opposed to globalization?,0.09367101352894847,-0.024188964857967316,0.0940732672772937,c0_wrong_to_correct
Are a dozen pickles good for easing hypertension?,-0.01748766632635268,0.06997352619031594,0.3150645265143964,c0_correct
Are all United States Aldi locations owned by the same company?,0.03588508486811248,0.0013461027153683913,0.1966711810902496,c0_correct
Are all characters in Legend of Robin Hood fictional?,-0.0034496812577740066,0.07811929549119198,0.30878659239860273,c0_correct
Are all limbs required for jujutsu?,-0.018098044310685957,0.08049981592684602,0.3611407030834167,c0_correct
Are all students guaranteed lunch at school in the US?,0.1237675103142657,-0.0733940806995386,-0.2730792315644376,c0_correct
Are all the elements plants need for photosynthesis present in atmosphere of Mars?,-0.07722377196249508,0.10128953126416243,0.1346832007223171,c0_wrong_to_wrong
Are all types of pottery safe to cook in?,-0.026897277623075255,0.06101345776666878,0.29560581484475945,c0_correct
Are anchovies associated with Italian food?,0.05254147202998427,-0.014771731447059067,0.013553252796256965,c0_correct
Are any letters directly before and after H missing from Roman numerals?,0.15169473493882635,-0.1874797917235934,-0.4810041661583011,c0_correct
Are any minor league baseball teams named after felines?,0.04523732641694489,-0.062362685544528645,-0.16839233636723683,c0_correct
Are any mollusks on Chinese New Year calendar?,-0.010614049367959955,0.08076136565852246,0.4689154844335779,c0_correct
Are any of the destinations of Japan Airlines former Axis Powers?,0.013997388802136412,-0.0514646974901006,-0.18405312794743423,c0_wrong_to_wrong
Are any of the words that CAPTCHA stands for palindromes?,-0.03258338443886877,0.12105631028466393,0.6282117932588956,c0_correct
Are black and white prison uniforms made to resemble a zebra?,0.07155847275985827,-0.10682218896106287,-0.3096523704028664,c0_correct
Are blue lips normal?,0.03849811872386222,-0.10164189305505898,-0.35558859973889145,c0_correct
Are both founders of Ben & Jerry's still involved in the company?,0.06714799457406373,-0.061642062024878236,0.05640980841760368,c0_correct
Are brown rock fish found in the waters surrounding Saint Kitts and Nevis?,0.07570783460299124,-0.10607436566466874,-0.02220815806149279,c0_correct
Are classic nintendo games for emulator legal?,0.02581917047146376,0.00849786146138709,0.09797294351654973,c0_correct
Are common carp sensitive to their environments?,0.053688297272004415,-0.09563804563669243,-0.29268524352483416,c0_correct
Are coopers required in the beverage industry?,0.0908483797164521,-0.14746124185380943,-0.3839940841028078,c0_correct
