question,c0_correct,c3_correct,c0_mean,c0_std,c0_range,c3_mean,c3_std,c3_range,category_primary
 Is cactus fruit an important menu item for a restaurant based on Cuauhtémoc?,False,True,0.7826551413333868,0.25820903440617055,0.6791793027989763,0.8844034904451568,0.24594920589977085,0.7851158658867591,c0_wrong_to_correct
Are Aldi's foods discounted due to being out of date?,True,True,0.8528675892427727,0.23001719909290957,0.7416521615309382,0.9796464461336245,0.052543608964595485,0.18243067370792798,c0_correct
Are Big Ben's bells currently rung on their normal schedule at the Palace of Westminster?,True,True,0.8142677495278966,0.2194614527663348,0.6419040433821368,0.9456692013186302,0.13174733287194432,0.5609208266771737,c0_correct
Are Christmas trees typically deciduous?,True,True,0.9058893836573872,0.17958834204643626,0.6533297526128481,0.9093700640240584,0.14037367970956113,0.41467960262725967,c0_correct
Are Disney's seven dwarves the original ones?,True,True,0.7636253242376285,0.2764295483819319,0.8846740639879477,0.9187379025858036,0.21910287888651328,0.8481425565567952,c0_correct
Are Donkeys part of Christmas celebrations?,True,True,0.8786812222282996,0.22981489141287256,0.7409573620823374,0.9664240887821254,0.10581943715533419,0.47667812785529307,c0_correct
Are Durian fruits an olfactory delight?,True,True,0.9129242439675865,0.1834433967534706,0.7096168169728383,0.8876640556197775,0.18768377004267764,0.670008490781056,c0_correct
Are LinkedIn and LeafedIn related companies?,True,True,0.94353895778406,0.11867568888984384,0.4187576704797905,0.9466120020004906,0.10398627113350703,0.3231351616956729,c0_correct
Are Mayors safe from harm from the federal government?,True,True,0.8924602591889662,0.15594545840599838,0.5009867048493626,0.8043572728432671,0.26451861926831005,0.7776049980204847,c0_correct
Are Sable's a good choice of Mustelidae to weigh down a scale?,True,True,0.8927402635047228,0.16854198902747106,0.5869573109560376,0.9293946181716106,0.13026416673422325,0.5000006566029885,c0_correct
"Are Scottish people descended from Mary, Queen of Scots part French?",True,True,0.9463609365673837,0.12637559487776084,0.47810407675334887,0.9668263560571475,0.07603400705121414,0.28143679978418,c0_correct
Are System of a Down opposed to globalization?,False,True,0.8282961114354087,0.2376216866738438,0.6541167853733809,0.9219671249643572,0.2134327218158765,0.7481900526506746,c0_wrong_to_correct
Are a dozen pickles good for easing hypertension?,True,True,0.9701667410224456,0.04349862018691656,0.13345257544276423,0.9526790746960929,0.1134721463772325,0.44851710195716066,c0_correct
Are all United States Aldi locations owned by the same company?,True,True,0.9178038314769135,0.13756077823781443,0.39240220652927615,0.953688916345026,0.13890688095318282,0.5890733876195258,c0_correct
Are all characters in Legend of Robin Hood fictional?,True,True,0.8885727912121433,0.1538688153650921,0.5639330064683094,0.8851231099543693,0.23198811085628407,0.8727195988669121,c0_correct
